,avg._session_duration,bounce_rate,net_profit,page_views_0,page_views_1,page_views_2,page_views_3,page_views_4,page_views_5,page_views_6,page_views_7,page_views_8,page_views_9,page_visitors_0,page_visitors_1,page_visitors_2,page_visitors_3,page_visitors_4,page_visitors_5,page_visitors_6,page_visitors_7,page_visitors_8,page_visitors_9,pages_/_session,site_age,site_type,starting_price
171,0.04400694846554719,0.7487999999999999,0.001985285530771926,6.552120099353403e-05,6.970835466649359e-05,8.226981568537231e-05,8.58366502956712e-05,6.269099527014469e-05,4.7376868410709216e-05,3.33421496180114e-06,0.0,0.0,0.0,0.001325216613387247,0.001389752770882176,0.0015288393172074536,0.0016567989398267092,0.0011049035240080069,0.0008389700474340757,7.232500408914447e-05,0.0,0.0,0.0,0.1164205039096438,0.05263157894736842,0.6,3.0
172,0.02605674580196873,0.6129,0.001985285530771926,0.005697475510772655,0.0012613800439790707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03340970111970233,0.013385689218344737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09904430929626411,0.10526315789473684,0.0,0.001
173,0.09322524609148813,0.6642,0.0019268947798668692,3.2644290672518134e-05,3.5745885985821523e-05,3.931272059612042e-05,3.2411671024020385e-05,5.610010522937499e-05,8.878316584330942e-06,3.4892947274663092e-06,3.993303965878109e-06,0.0,0.0,0.00026037001472092007,0.0002815111697623623,0.0004884719506943756,0.00033269501881006455,0.0002915254010977823,4.228231008288445e-05,1.4465000817828892e-05,5.563461853011113e-06,0.0,0.0,0.21372719374456994,0.05263157894736842,0.4,0.025
174,0.019687319050376375,0.2127,0.0018685040289618125,5.679796417486825e-05,6.195436638323514e-05,1.0700503830896682e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007477292730446936,0.0007176865790384336,0.00012128346839564226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20764552562988706,0.022350396539293438,0.6,0.04
175,0.030110017371163866,0.0042,0.0018101132780567557,3.876994141629232e-05,5.210680126349688e-05,6.877787607250258e-05,7.215086097572002e-05,0.0003530390865367579,0.0002686756940149058,4.404265344890808e-05,4.605869040255528e-05,7.036744367057056e-05,2.7061419108572043e-05,0.0003093284790274179,0.0003371457882924734,0.0004795704117295579,0.0005418811844832823,0.002681588613151356,0.001300737381233998,0.0002937507858389867,0.00021697501226743338,0.00024367962916188672,0.00013574846921347115,0.30929626411815814,0.05263157894736842,0.2,1.0
176,0.029530978575564564,0.7909,0.001751722527151699,4.280201532358673e-05,5.889154101134804e-05,7.257733033129923e-05,5.156402208366879e-05,3.140365254719678e-05,2.799189770256306e-05,1.938497070814616e-05,1.8260642407073685e-05,1.8725881704069193e-05,1.802802275857593e-05,0.000820054277133838,0.0010603958291839181,0.001369724308211336,0.0007410531188210801,0.00047845771935895565,0.00043395002453486676,0.00036941386703993786,0.00030599040191561116,0.0003738646365223468,0.00028484924687416894,0.12163336229365769,0.10526315789473684,0.6,1.0
177,0.026635784597568036,0.7609,0.001751722527151699,0.0005526267449478308,0.00048671784454013385,0.0005456869254343144,0.0005229289698229509,0.0005609235124109174,0.0005478580421536269,0.0005154076011881901,0.0004955573911830485,0.00045543050181718594,0.000507033293842271,0.008617802410314214,0.007796635440809773,0.008424193937829427,0.0080102723759654,0.008613351640831804,0.008255064697497889,0.007706507358790993,0.007520687732900422,0.0070667092456947155,0.0076074777378073955,0.14422241529105126,0.3157894736842105,0.6,0.001
178,0.015055008685581933,0.5194,0.0016933317762466424,2.186624695878887e-05,1.2328841370380959e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003527234814809045,0.00013686116158407335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08253692441355343,0.10526315789473684,0.6,0.6
179,0.009264620729588882,0.2754,0.0015181595235314726,7.226717079996889e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010348039046600668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04083405734144222,0.008940158615717375,0.6,0.5
180,0.0011580775911986102,0.9845999999999999,0.0015181595235314726,0.0005767804184501809,0.0005422364006482644,0.0004488783817178325,0.00046093583349829945,0.00047190772691911017,0.0004796617152023686,0.0005442912075433279,0.00044872330195216736,0.0004606256739669691,0.00040588251668716434,0.016007192443483573,0.015032473926836026,0.012252968385071674,0.012578987249658126,0.012543381093798853,0.01247661955156272,0.01332782921507342,0.01106016216378609,0.01120481217196438,0.009088471283078953,0.08948740225890531,0.05263157894736842,0.6,0.2
181,0.04111175448755067,0.8005,0.0015181595235314726,8.172703650554422e-05,8.676712888966223e-05,0.00010615209959780838,0.00015368404777418276,0.00020396866179111392,0.0002152119448018387,0.0001929967683703032,0.00016023616787353616,0.00014185921564221362,0.00010262403492892578,0.0015499804722488959,0.001564445473066725,0.001880450106317756,0.002612601686174018,0.0035416998156268743,0.00366965943824613,0.003160046332510312,0.002526924373637647,0.0023333159011528605,0.0018214774106758381,0.1207645525629887,0.10526315789473684,0.6,0.15
182,0.05500868558193399,0.7759,0.0015181595235314726,0.00014732577738191084,0.00015492468589950413,0.0001060745597149758,0.00010584194006647805,8.502248152592906e-05,7.331395921820879e-05,6.028725890233456e-05,3.5745885985821523e-05,2.2719185669947303e-05,1.3763329202783776e-05,0.0026137143785446206,0.002544727451567283,0.0018459566428290872,0.001730236636286456,0.001554431241731305,0.0012684693024865336,0.0010225642885834424,0.0006186569580548357,0.00040613271526981123,0.0002325527054558645,0.13379669852302345,0.05263157894736842,0.4,0.847
183,0.11407064273306311,0.6288,0.0015181595235314726,0.0018521564112805333,0.0017749266879792788,0.0016429538073982198,0.0015603350622401008,0.0018577392828444794,0.001779579080949234,0.0024755770692545137,0.0027364600050447446,0.002482904588182193,0.002760807528254176,0.011036795624003445,0.011327208332730624,0.010557225212273888,0.0089616243528303,0.012079388375257728,0.01117922024744053,0.01639218400371194,0.01671709017592779,0.017479284449790314,0.016492326317066142,0.29626411815812337,0.15789473684210525,0.2,17.5
