,avg._session_duration,bounce_rate,content_unique?,design_unique?,listing_type,net_profit,page_views_0,page_views_1,page_views_2,page_views_3,page_views_4,page_views_5,page_views_6,page_views_7,page_views_8,page_views_9,page_visitors_0,page_visitors_1,page_visitors_2,page_visitors_3,page_visitors_4,page_visitors_5,page_visitors_6,page_visitors_7,page_visitors_8,page_visitors_9,pages_/_session,platform,site_age,site_type,starting_price,template_unique?
0,"
  00:06:14
","
  34.82%
",,,,"
  $5,479 p/mo
",971,"6,549","12,936","10,896","1,873","4,650","20,528","19,194",286,"1,351",130,283,699,"2,448",436,348,"15,615","15,227",39,146,"
  7.31
","
  —
","
  1 year
","
  Services
","
    $620 ",
0,"
  00:01:12
","
  68.25%
",,,,"
  $410 p/mo
","10,740","12,115","11,498","11,912","13,025","28,472","30,023","40,330","47,465","61,553","4,997","6,034","5,257","5,928","5,259","11,237","12,465","16,120","19,260","25,356","
  1.81
","
  —
","
  3 years
","
  Content
","
    $1,100 ",
0,,,,,,"
  $26,208 p/mo
",,,,,,,,,,,,,,,,,,,,,,"
  —
","
  1 year
","
  eCommerce
","
    $2,700 ",
0,"
  00:00:31
","
  68.94%
",,,,"
  $17,033 p/mo
","20,118","27,940","22,156","14,856","9,654","10,342","10,269","52,875","59,361","49,274","10,706","16,038","12,571","8,433","5,194","5,974","5,864","28,009","34,855","34,011","
  1.41
","
  Google ​​Search ​​Appliance
","
  11 years
","
  —
","
    $1 ",
0,,,,,,"
  $15,000 p/mo
",,,,,,,,,,,,,,,,,,,,,,"
  PHP
","
  18 years
","
  —
","
    $100,000 ",
0,"
  00:02:49
","
  63.62%
",,,,"
  $8,000 p/mo
","18,566","23,546","27,769","25,108","27,697","32,984","33,395","35,793","25,561","5,519","4,259","4,155","6,190","4,559","5,106","6,591","5,654","6,861","4,596","3,095","
  2.96
","
  —
","
  4 years
","
  —
","
    $1 ",
0,,,"
  No
","
  Yes
","
  Starter Site
","
  $5,710 p/mo
",,,,,,,,,,,,,,,,,,,,,,"
  —
","
  2 months
","
  Services
","
    $3,050 ","
  No
"
0,"
  00:06:09
","
  20.51%
",,,,"
  $5,516 p/mo
","11,056,134","13,500,851","12,948,298","13,330,320","14,899,857","20,383,406","22,871,372","25,793,178","18,851,653","14,733,440","318,791","369,586","360,346","374,567","426,561","509,796","620,581","694,428","604,271","483,008","
  8.67
","
  —
","
  2 years
","
  Content
","
    $190,000 ",
0,"
  00:00:42
","
  85.67%
",,,,"
  $5,358 p/mo
","329,846","730,280","456,377","469,430","366,315","337,694","339,322","373,892","1,125,913","1,278,421","236,532","502,327","295,488","288,079","230,606","218,769","239,055","276,798","898,721","827,965","
  1.24
","
  Word​​Press
","
  3 years
","
  Content
","
    $300,000 ",
0,"
  00:01:20
","
  62.07%
",,,,"
  $5,000 p/mo
","17,678","19,248","23,864","27,026","46,076","28,144","50,441","22,664","25,626","25,687","4,684","4,802","6,627","6,308","12,585","7,067","26,494","5,799","6,391","6,327","
  3.22
","
  —
","
  4 years
","
  eCommerce
","
    $10,000 ",
0,"
  00:02:02
","
  51.23%
",,,,"
  $4,500 p/mo
","3,115","4,535","5,515","6,591","6,248","6,264","9,725","8,985","6,047","14,520",799,968,"1,176","1,402","1,365","1,180","1,802","2,116","1,532","3,647","
  3.74
","
  —
","
  2 years
","
  eCommerce
","
    $1 ",
0,"
  00:01:12
","
  29.13%
","
  Yes
","
  Yes
","
  Starter Site
","
  $4,410 p/mo
","46,736","17,260",0,0,0,0,0,0,0,0,"11,170","3,351",0,0,0,0,0,0,0,0,"
  2.47
","
  —
","
  3 months
","
  eCommerce
","
    $4,800 ","
  No
"
0,"
  00:01:23
","
  44.47%
",,,,"
  $4,276 p/mo
","35,853","136,416","77,436","115,434","201,680","78,756","38,847","11,710","58,796","3,497","15,387","16,030","10,388","15,750","32,670","12,686","6,133","2,254","25,643","1,457","
  4.79
","
  —
","
  1 year
","
  eCommerce
","
    $75,000 ",
0,,,,,,"
  $4,198 p/mo
",,,,,,,,,,,,,,,,,,,,,,"
  —
","
  1 year
","
  Services
","
    $3,000 ",
0,"
  00:02:56
","
  55.48%
",,,,"
  $4,062 p/mo
","11,802","17,832","19,579","20,937","15,733","16,549","19,956","23,542","21,455","23,926","2,800","4,073","4,711","6,124","3,471","3,833","5,703","6,983","6,465","6,673","
  3.11
","
  —
","
  2 years
","
  eCommerce
","
    $575 ",
0,"
  00:00:40
","
  79.10%
",,,,"
  $4,057 p/mo
","55,139","78,361","106,035","131,878","135,224","413,208","1,109,264","1,894,452","461,031","401,733","35,222","45,348","71,437","64,463","67,176","200,431","557,530","896,546","224,526","200,902","
  1.47
","
  Wordpress 4.9
","
  7 years
","
  Content
","
    $150,000 ",
0,,,,,,"
  $3,726 p/mo
",,,,,,,,,,,,,,,,,,,,,,"
  —
","
  1 year
","
  eCommerce
","
    $29,000 ",
0,"
  00:00:57
","
  88.01%
",,,,"
  $3,580 p/mo
","23,097","16,816","11,624","9,140","8,856","10,049","9,733","13,837","12,613","9,887","15,933","12,142","7,938","5,937","5,754","6,765","6,504","8,906","8,075","6,045","
  1.23
","
  Word​​Press
","
  4 years
","
  Services
","
    $50,000 ",
0,"
  00:01:54
","
  50.60%
",,,,"
  $3,040 p/mo
","12,092","12,258","10,599","8,499","9,013","6,412","8,141","10,051","15,119","27,656","3,123","3,539","3,139","2,084","2,213","1,490","1,911","2,676","2,709","3,133","
  2.95
","
  —
","
  8 years
","
  eCommerce
","
    $40,000 ",
0,"
  00:00:31
","
  75.46%
",,,,"
  $3,035 p/mo
",3,110,19,449,"113,829",0,0,0,0,0,3,28,8,158,"19,017",0,0,0,0,0,"
  1.87
","
  —
","
  7 months
","
  eCommerce
","
    $6 ",
0,"
  00:01:35
","
  1.46%
",,,,"
  $2,957 p/mo
","12,734","10,096","12,405","13,998","17,098","7,085","7,755","8,400","7,338","8,103","2,389","2,197","2,343","2,517","3,085","3,052","3,362","3,257","3,359","3,176","
  4.21
","
  —
","
  6 years
","
  eCommerce
","
    $20,000 ",
0,"
  00:00:46
","
  75.80%
",,,,"
  $2,954 p/mo
","4,409","5,347","6,592","7,096","6,144","7,316","5,313","4,275","2,462","2,529","2,485","2,602","3,175","3,193","3,145","4,141","2,831","2,242","1,336","1,415","
  1.76
","
  —
","
  2 years
","
  eCommerce
","
    $1 ",
0,"
  00:01:14
","
  72.20%
",,,,"
  $2,877 p/mo
","3,166","20,319","44,426","78,243","89,540","34,254","34,371","39,836","61,840","96,934","1,024","6,996","15,892","32,616","36,014","14,081","16,708","17,533","29,266","41,219","
  2.30
","
  —
","
  11 months
","
  eCommerce
","
    $2,000 ",
0,"
  00:01:01
","
  70.61%
",,,,"
  $2,851 p/mo
","42,461","51,082","38,998","55,306","60,575","59,081","46,981","43,113","44,745","52,225","14,839","17,904","12,267","18,693","19,750","19,955","15,929","14,252","15,006","17,288","
  1.98
","
  —
","
  2 years
","
  eCommerce
","
    $17 ",
0,,,"
  Yes
","
  Yes
","
  Starter Site
","
  $2,500 p/mo
",,,,,,,,,,,,,,,,,,,,,,"
  Wordpress 4.9
","
  3 months
","
  Services
","
    $1 ","
  No
"
0,,,,,,"
  $2,470 p/mo
",,,,,,,,,,,,,,,,,,,,,,"
  Word​​Press
","
  2 years
","
  Transactional / Marketplace
","
    $500 ",
0,"
  00:00:47
","
  82.67%
",,,,"
  $2,384 p/mo
","3,213","4,572","6,286","8,101","23,475","14,470","12,325","16,339","24,573","32,445","1,863","2,440","3,846","5,152","16,563","9,552","7,376","10,439","16,593","22,133","
  1.49
","
  —
","
  2 years
","
  eCommerce
","
    $1,150 ",
0,"
  00:00:20
","
  23.04%
",,,,"
  $2,322 p/mo
","21,527",0,0,0,0,0,0,0,0,0,"8,668",0,0,0,0,0,0,0,0,0,"
  0.68
","
  —
","
  6 months
","
  eCommerce
","
    $3,500 ",
0,"
  00:00:58
","
  61.43%
",,,,"
  $2,252 p/mo
",19,31,119,319,"896,694","1,276,142","1,139,938","1,121,120","1,179,512","1,228,066",4,14,50,105,"276,904","390,034","340,526","338,276","313,113","338,723","
  1.61
","
  Wordpress 4.8
","
  1 year
","
  Content
","
    $5,000 ",
0,"
  00:03:32
","
  0.00%
",,,,"
  $2,200 p/mo
","1,606",0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,"
  3.30
","
  —
","
  1 year
","
  —
","
    $1 ",
0,"
  00:02:22
","
  59.84%
",,,,"
  $2,013 p/mo
","23,891","22,810","18,510","19,351","20,130","24,792","20,233","24,256","32,684","37,015","6,678","6,126","5,165","4,899","5,018","6,233","5,411","6,616","8,423","9,451","
  2.93
","
  —
","
  3 years
","
  eCommerce
","
    $29,500 ",
0,,,,,,"
  $2,000 p/mo
",,,,,,,,,,,,,,,,,,,,,,"
  —
","
  2 years
","
  —
","
    $5,000 ",
0,,,,,,"
  $2,000 p/mo
",,,,,,,,,,,,,,,,,,,,,,"
  Ruby on ​​Rails
","
  2 years
","
  eCommerce
","
    $1 ",
0,,,,,,"
  $1,980 p/mo
",,,,,,,,,,,,,,,,,,,,,,"
  —
","
  1 year
","
  —
","
    $1 ",
0,"
  00:01:52
","
  59.70%
",,,,"
  $1,956 p/mo
","5,562","14,220","18,376","23,999","86,015","69,324","50,866","38,227","20,588","57,192","1,133","3,294","6,827","5,711","14,798","11,897","9,571","6,650","4,213","10,957","
  2.95
","
  —
","
  1 year
","
  eCommerce
","
    $1,500 ",
0,"
  00:00:10
","
  24.64%
","
  No
","
  No
","
  Starter Site
","
  $1,950 p/mo
","37,162",0,0,0,0,0,0,0,0,0,"19,659",0,0,0,0,0,0,0,0,0,"
  0.59
","
  —
","
  11 months
","
  eCommerce
","
    $7,000 ","
  No
"
0,"
  00:01:40
","
  69.10%
",,,,"
  $1,950 p/mo
","7,669","7,431","8,471","8,484","9,788","10,296","8,605","8,679","7,486","6,831","2,963","2,943","3,054","3,038","3,594","3,236","2,989","3,302","2,666","2,542","
  2.26
","
  —
","
  6 years
","
  eCommerce
","
    $1 ",
0,"
  00:02:25
","
  44.85%
",,,,"
  $1,942 p/mo
","9,192","6,443","3,821","5,457","3,371","1,836","3,866","3,601","17,521","10,572","1,851","1,467","1,186","1,321",713,537,691,877,"1,994","1,284","
  3.51
","
  Joomla!
","
  8 years
","
  Services
","
    $200,000 ",
0,,,,,,"
  $1,790 p/mo
",,,,,,,,,,,,,,,,,,,,,,"
  —
","
  11 months
","
  eCommerce
","
    $46 ",
0,"
  00:01:06
","
  65.75%
",,,,"
  $1,653 p/mo
","36,628","42,626","36,934","38,130","40,433","55,378","54,908","79,601","102,360","97,982","15,597","18,053","15,203","16,748","15,948","19,352","20,241","18,987","18,458","16,793","
  2.19
","
  Word​​Press
","
  3 years
","
  Content
","
    $19,000 ",
0,"
  00:04:31
","
  13.23%
",,,,"
  $1,650 p/mo
","5,553,306","5,955,104","5,625,128","6,845,801","6,653,616","6,338,393","6,897,508","6,540,955","7,074,643","6,824,999","341,498","366,186","356,607","460,898","437,629","407,989","454,445","420,771","460,799","456,120","
  6.73
","
  ASP.​​NET
","
  5 years
","
  —
","
    $1 ",
0,"
  00:02:36
","
  46.30%
",,,,"
  $1,569 p/mo
","590,334","563,010","1,015,795","874,887","1,037,747","1,154,843","755,992","272,809","252,617","191,424","143,263","142,565","249,687","215,791","269,538","318,805","224,132","89,415","78,693","59,252","
  3.28
","
  —
","
  3 years
","
  Content
","
    $1 ",
0,"
  00:00:23
","
  32.84%
",,,,"
  $1,486 p/mo
","5,451","7,752","7,030","9,085","5,483","8,259","8,567","11,979","16,954","14,736","2,672","3,820","3,487","4,294","2,225","3,362","3,407","4,737","6,568","5,795","
  2.00
","
  —
","
  1 year
","
  Content
","
    $600 ",
0,,,,,,"
  $1,475 p/mo
",,,,,,,,,,,,,,,,,,,,,,"
  —
","
  12 years
","
  Transactional / Marketplace
","
    $50,000 ",
0,"
  00:01:56
","
  59.25%
",,,,"
  $1,451 p/mo
","2,209","2,542","1,448","2,571","2,699","3,734","6,484","8,222","8,313","12,758",732,634,517,701,873,"1,212","1,977","2,582","2,709","3,690","
  2.88
","
  —
","
  9 years
","
  eCommerce
","
    $1,000 ",
0,"
  00:01:09
","
  82.51%
",,,,"
  $1,422 p/mo
","865,559","749,487","374,524","224,488","132,482","68,094","71,014","58,634","7,607",418,"592,146","501,737","267,075","173,695","107,007","50,492","55,358","44,063","6,148",191,"
  1.33
","
  Word​​Press
","
  10 months
","
  Content
","
    $35,000 ",
0,"
  00:01:14
","
  71.04%
",,,,"
  $1,400 p/mo
","1,629,482","1,832,950","1,552,167","1,398,643","1,507,659","1,622,975","1,839,494","1,783,723","1,396,405","1,447,183","760,623","864,740","755,065","707,884","750,906","753,889","849,154","800,965","722,041","742,294","
  1.70
","
  PHP
","
  5 years
","
  —
","
    $37,500 ",
0,,,,,,"
  $1,238 p/mo
",,,,,,,,,,,,,,,,,,,,,,"
  —
","
  1 year
","
  eCommerce
","
    $1 ",
0,"
  00:01:27
","
  64.17%
",,,,"
  $1,222 p/mo
","1,629","3,423","3,226","3,593","4,347","3,646","4,922","3,485","2,834","2,913",531,"1,124","1,001","1,111","1,320","1,119","1,505","1,002",854,869,"
  2.50
","
  —
","
  2 years
","
  eCommerce
","
    $5,995 ",
0,"
  00:01:17
","
  68.65%
",,,,"
  $1,091 p/mo
","51,203","44,395","45,748","60,404","60,030","43,610","40,161","48,583","67,978","80,385","29,443","24,959","24,502","32,185","32,505","25,109","22,410","26,126","36,710","45,289","
  1.64
","
  Word​​Press
","
  3 years
","
  Content
","
    $6,300 ",
0,"
  00:02:06
","
  36.39%
",,,,"
  $1,080 p/mo
","448,024","572,067","393,402","408,351","444,432","346,548","346,984","374,324","322,298","376,529","116,937","153,370","106,967","107,479","115,577","90,474","85,493","93,110","80,600","96,587","
  3.13
","
  Wordpress 4.9
","
  1 year
","
  Content
","
    $15,000 ",
0,"
  00:02:33
","
  72.43%
",,,,"
  $1,080 p/mo
","54,290","59,304","76,872","76,147","62,951","48,962","35,093","31,896","77,893","42,974","25,853","26,119","31,763","33,454","28,183","22,660","16,683","13,535","57,305","25,969","
  1.84
","
  Word​​Press
","
  4 years
","
  —
","
    $60,000 ",
0,"
  00:01:45
","
  72.50%
",,,,"
  $1,069 p/mo
",275,666,"1,382",453,709,275,596,"1,286",118,0,126,302,513,249,349,125,115,86,6,0,"
  1.93
","
  Wordpress 4.8
","
  2 years
","
  Services
","
    $1 ",
0,,,,,,"
  $1,022 p/mo
",,,,,,,,,,,,,,,,,,,,,,"
  —
","
  4 months
","
  eCommerce
","
    $150 ",
0,"
  00:01:47
","
  31.33%
",,,,"
  $976 p/mo
","5,748","3,363","5,482","1,770","1,321","2,021","1,591",385,61,0,"1,010",665,993,407,364,287,555,160,19,0,"
  4.74
","
  —
","
  9 months
","
  eCommerce
","
    $12,500 ",
0,,,,,,"
  $969 p/mo
",,,,,,,,,,,,,,,,,,,,,,"
  —
","
  20 years
","
  eCommerce
","
    $5,000 ",
0,"
  00:03:20
","
  60.37%
",,,,"
  $913 p/mo
","16,800","14,654","19,980","16,269","10,535","16,371","10,524","12,788","17,033","13,499","2,282","2,401","4,406","3,093","2,223","3,855","2,554","3,072","5,711","3,002","
  2.37
","
  —
","
  5 years
","
  eCommerce
","
    $5,575 ",
0,"
  00:00:12
","
  82.14%
",,,,"
  $900 p/mo
",30,22,45,34,36,40,27,22,24,29,19,16,29,21,27,29,19,20,16,18,"
  1.41
","
  —
","
  10 years
","
  —
","
    $10,000 ",
0,"
  00:01:16
","
  80.51%
",,,,"
  $877 p/mo
","19,496","17,517","13,858","13,099","14,267","18,488","28,007","21,713","18,822","15,482","12,513","12,684","9,679","9,040","9,618","12,363","18,592","15,651","13,604","11,323","
  1.42
","
  Wordpress 4.8
","
  1 year
","
  eCommerce
","
    $5,000 ",
0,"
  00:01:09
","
  76.31%
",,,,"
  $871 p/mo
","3,961","1,303","1,698","1,626","2,000","2,957","7,613","24,242","4,744","11,043","1,566",561,709,749,920,"1,195","3,509","12,715","2,376","5,990","
  1.78
","
  —
","
  1 year
","
  eCommerce
","
    $1,000 ",
0,"
  00:00:22
","
  52.02%
","
  Yes
","
  Yes
","
  Starter Site
","
  $845 p/mo
","463,357","129,101",0,0,0,0,0,0,0,0,"337,370","82,710",0,0,0,0,0,0,0,0,"
  0.94
","
  Wordpress 4.9
","
  4 months
","
  Content
","
    $5,000 ","
  No
"
0,"
  00:04:13
","
  60.66%
",,,,"
  $821 p/mo
","2,171","2,175","1,902","1,980","1,584","1,146","1,248","1,430","1,485","1,406","1,134","1,198",977,999,797,570,704,707,792,783,"
  1.71
","
  Weebly
","
  7 years
","
  eCommerce
","
    $30,000 ",
0,"
  00:04:14
","
  49.41%
",,,,"
  $817 p/mo
","3,690","5,049","46,808","21,336","33,546","67,191","9,651",0,0,0,736,339,"5,592","1,876","7,067","35,100","4,374",0,0,0,"
  6.02
","
  —
","
  4 months
","
  eCommerce
","
    $215 ",
0,"
  00:00:18
","
  93.33%
",,,,"
  $814 p/mo
","81,627","249,237","197,196","269,248","110,168","359,627","410,640","136,991","67,536","1,195","62,468","206,187","155,978","226,210","92,273","304,644","365,070","121,592","59,198","1,005","
  1.11
","
  Wordpress 4.9
","
  1 year
","
  Content
","
    $8,000 ",
0,"
  00:01:05
","
  75.03%
",,,,"
  $765 p/mo
",376,122,100,147,134,118,136,151,193,357,202,63,59,70,73,89,89,96,96,143,"
  1.68
","
  —
","
  3 years
","
  eCommerce
","
    $14,000 ",
0,,,,,,"
  $762 p/mo
",,,,,,,,,,,,,,,,,,,,,,"
  Wordpress 4.9
","
  4 months
","
  Transactional / Marketplace
","
    $1,550 ",
0,"
  00:00:24
","
  41.50%
",,,,"
  $740 p/mo
","38,480","39,227","43,043","37,896","43,908","44,225","39,324","55,588","75,083","71,614","18,315","18,082","19,320","16,991","19,471","19,660","17,152","25,033","35,196","31,352","
  2.11
","
  —
","
  1 year
","
  Content
","
    $2,050 ",
0,"
  00:00:26
","
  35.28%
",,,,"
  $740 p/mo
","35,277","40,465","40,528","40,780","37,696","38,008","47,599","44,773","21,478","44,066","15,559","18,506","18,146","17,614","19,236","18,466","23,989","22,207","10,804","20,415","
  2.17
","
  Wordpress 4.9
","
  1 year
","
  Content
","
    $2,500 ",
0,,,,,,"
  $733 p/mo
",,,,,,,,,,,,,,,,,,,,,,"
  Squarespace
","
  2 years
","
  —
","
    $1 ",
0,,,"
  Yes
","
  Yes
","
  Starter Site
","
  $725 p/mo
",,,,,,,,,,,,,,,,,,,,,,"
  Wordpress 4.7
","
  6 months
","
  eCommerce
","
    $2,000 ","
  No
"
0,"
  00:04:18
","
  53.03%
",,,,"
  $724 p/mo
","5,780","4,461","4,472","4,177","2,173","1,158","1,082","2,489","2,307","1,524","1,108",947,907,877,507,265,215,444,453,361,"
  3.73
","
  —
","
  2 years
","
  eCommerce
","
    $39,000 ",
0,"
  00:00:43
","
  88.47%
",,,,"
  $692 p/mo
","5,020","7,053","4,451","4,684","4,027","3,228","2,577","2,545","2,179","2,532","3,952","5,320","3,237","3,491","2,921","2,491","1,778","1,697","1,422","1,526","
  1.21
","
  Wordpress 4.9
","
  2 years
","
  Content
","
    $20,000 ",
0,"
  00:01:04
","
  70.98%
",,,,"
  $691 p/mo
","5,833","32,369","27,008",59,0,0,0,0,0,0,"2,147","14,274","13,334",10,0,0,0,0,0,0,"
  1.95
","
  —
","
  1 year
","
  eCommerce
","
    $500 ",
0,,,"
  Yes
","
  Yes
","
  Starter Site
","
  $684 p/mo
",,,,,,,,,,,,,,,,,,,,,,"
  PHP
","
  7 months
","
  Services
","
    $17,000 ","
  No
"
0,"
  00:00:00
","
  0.00%
","
  No
","
  No
","
  Starter Site
","
  $630 p/mo
",0,0,0,0,0,8,153,920,"1,189","1,477",0,0,0,0,0,8,88,517,665,840,"
  0.00
","
  Wordpress 4.6
","
  2 years
","
  —
","
    $200 ","
  No
"
0,"
  00:00:58
","
  74.79%
",,,,"
  $625 p/mo
","11,313","13,652","21,723","56,552","30,799","17,509","35,666","29,137","33,340","36,144","3,664","5,292","7,474","16,995","10,401","6,432","13,459","10,423","12,868","13,672","
  2.37
","
  —
","
  2 years
","
  eCommerce
","
    $15,000 ",
0,"
  00:00:52
","
  87.97%
",,,,"
  $612 p/mo
","13,612","10,645","12,219","13,783","15,034","16,535","16,096","15,183","15,242","16,112","10,460","8,201","9,241","9,923","10,633","11,635","11,492","10,997","10,324","10,684","
  1.20
","
  Word​​Press
","
  3 years
","
  Content
","
    $5,000 ",
0,"
  00:00:28
","
  92.25%
",,,,"
  $603 p/mo
","5,528","6,678","8,263","12,150","10,276","7,716","5,428","1,294",0,0,"4,550","5,557","6,886","10,026","8,449","5,726","4,109",893,0,0,"
  1.12
","
  Wordpress 4.9
","
  1 year
","
  Content
","
    $100 ",
0,"
  00:02:20
","
  16.01%
",,,,"
  $572 p/mo
","7,164","11,981","26,262","26,744","46,654","42,534","116,280","167,580","44,977",0,"1,906","2,964","6,303","6,392","11,641","11,867","29,436","22,386","6,123",0,"
  3.40
","
  —
","
  1 year
","
  eCommerce
","
    $5,000 ",
0,"
  00:01:09
","
  34.69%
",,,,"
  $569 p/mo
","13,908","1,968",0,0,0,0,0,0,0,0,"4,801","1,897",0,0,0,0,0,0,0,0,"
  1.29
","
  Wordpress 4.9
","
  1 year
","
  Content
","
    $1 ",
0,"
  00:02:34
","
  47.22%
",,,,"
  $554 p/mo
","2,307","31,673","13,935","3,406",0,0,0,0,0,0,483,"4,688","2,357",584,0,0,0,0,0,0,"
  4.57
","
  —
","
  5 months
","
  eCommerce
","
    $2,500 ",
0,"
  00:00:25
","
  27.74%
",,,,"
  $531 p/mo
","5,448",86,0,0,32,28,494,"2,510","12,187","14,077","3,633",43,0,0,17,14,247,"1,829","7,827","9,241","
  1.10
","
  —
","
  3 years
","
  Content
","
    $1,500 ",
0,"
  00:03:00
","
  45.70%
",,,,"
  $490 p/mo
","7,712","5,997","5,442","3,700","5,413",0,0,0,0,0,"2,568",782,733,796,719,0,0,0,0,0,"
  4.61
","
  Weebly
","
  4 years
","
  eCommerce
","
    $3,900 ",
0,"
  00:00:40
","
  95.00%
",,,,"
  $490 p/mo
",22,47,1,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,"
  1.09
","
  ASP.​​NET
","
  1 year
","
  —
","
    $1 ",
0,"
  00:00:27
","
  54.64%
",,,,"
  $490 p/mo
","11,639","14,101","11,941","12,268","14,527","8,442","14,459","12,063","12,209","12,475","5,903","8,095","8,200","9,471","10,211","5,649","10,927","9,073","9,171","9,021","
  1.59
","
  Wordpress 4.7
","
  8 years
","
  —
","
    $1 ",
0,,,,,,"
  $488 p/mo
",,,,,,,,,,,,,,,,,,,,,,"
  —
","
  9 months
","
  eCommerce
","
    $2,000 ",
0,"
  00:01:53
","
  73.51%
",,,,"
  $480 p/mo
","10,121","10,860","10,479","13,344","13,976","1,919",0,0,0,0,"5,662","6,116","6,168","7,704","7,702","1,128",0,0,0,0,"
  1.56
","
  Wordpress 4.7
","
  2 years
","
  Content
","
    $11,500 ",
0,,,,,,"
  $476 p/mo
",,,,,,,,,,,,,,,,,,,,,,"
  —
","
  4 months
","
  eCommerce
","
    $2,250 ",
0,"
  00:10:31
","
  23.81%
",,,,"
  $458 p/mo
","138,918","110,568",536,0,0,0,0,0,0,0,"5,898","5,933",59,0,0,0,0,0,0,0,"
  5.59
","
  —
","
  1 year
","
  Services
","
    $6,000 ",
0,"
  00:15:16
","
  40.04%
",,,,"
  $455 p/mo
","2,089,678","1,938,244","1,807,293","1,761,674","1,636,656","1,165,821","918,529","621,116","461,732","347,751","168,038","157,486","131,687","146,790","148,574","114,465","103,269","69,708","38,061","31,805","
  3.91
","
  PHP
","
  1 year
","
  Content
","
    $25,000 ",
0,"
  00:03:26
","
  57.18%
",,,,"
  $451 p/mo
","205,739","247,197","267,283","298,664","309,914","229,493","258,673","312,082","238,147","238,801","45,736","53,320","53,712","49,151","51,351","40,384","42,993","46,821","38,212","36,805","
  3.37
","
  —
","
  5 years
","
  Content
","
    $9,000 ",
0,,,,,,"
  $440 p/mo
",,,,,,,,,,,,,,,,,,,,,,"
  PHP
","
  1 year
","
  eCommerce
","
    $40,000 ",
0,"
  00:00:12
","
  5.09%
",,,,"
  $431 p/mo
","19,052",0,0,0,0,0,0,0,0,0,"6,834",0,0,0,0,0,0,0,0,0,"
  0.86
","
  —
","
  4 years
","
  Content
","
    $500 ",
0,"
  00:03:33
","
  55.94%
",,,,"
  $375 p/mo
","62,844","61,889","71,124","59,491","82,400","71,667","73,874","74,629","73,476","75,032","13,839","12,483","12,310","10,064","16,592","11,908","13,013","13,763","12,964","12,233","
  2.10
","
  —
","
  9 years
","
  —
","
    $1 ",
0,,,,,,"
  $343 p/mo
",,,,,,,,,,,,,,,,,,,,,,"
  Wordpress 4.7
","
  2 years
","
  Content
","
    $23,000 ",
0,"
  00:00:17
","
  19.08%
","
  No
","
  No
","
  Starter Site
","
  $331 p/mo
","1,150",0,0,0,0,0,0,0,0,0,407,0,0,0,0,0,0,0,0,0,"
  0.85
","
  —
","
  11 months
","
  eCommerce
","
    $250 ","
  No
"
0,"
  00:01:00
","
  87.76%
",,,,"
  $320 p/mo
","5,328","4,312","2,305","3,447","4,097","3,921","3,396","3,699","2,663","5,059","3,844","3,030","1,551","2,111","2,823","2,111","2,306","2,644","1,770","3,120","
  1.26
","
  Wordpress 4.9
","
  1 year
","
  Content
","
    $9,000 ",
0,"
  00:00:45
","
  71.63%
",,,,"
  $316 p/mo
","18,875","15,142","35,446","48,556","43,738","46,505","36,125","32,659","36,874","37,279","9,133","7,248","12,375","11,793","11,916","12,983","9,243","7,136","7,897","9,004","
  1.52
","
  —
","
  8 years
","
  Content
","
    $24,000 ",
0,"
  00:00:29
","
  76.23%
",,,,"
  $315 p/mo
","132,724","133,415","153,040","110,609","114,687","127,280","118,840","147,056","143,749","111,953","98,939","99,504","112,958","80,352","83,507","93,387","88,042","108,636","104,926","79,155","
  1.26
","
  Concrete5
","
  1 year
","
  Content
","
    $25,000 ",
0,,,,,,"
  $302 p/mo
",,,,,,,,,,,,,,,,,,,,,,"
  Word​​Press
","
  3 years
","
  Content
","
    $8,000 ",
0,"
  00:00:40
","
  90.53%
",,,,"
  $299 p/mo
","14,692","17,141","15,864","15,879","16,672","14,443","12,434","9,791","9,205","11,800","11,351","13,134","12,171","12,269","12,833","10,938","9,669","7,592","6,990","8,819","
  1.13
","
  Wordpress 4.9
","
  2 years
","
  Content
","
    $19,000 ",
0,"
  00:01:55
","
  77.27%
",,,,"
  $286 p/mo
",307,187,219,241,311,283,61,315,47,779,158,93,130,93,79,110,24,88,19,140,"
  1.42
","
  Wordpress 4.7
","
  10 months
","
  Transactional / Marketplace
","
    $3,999 ",
0,,,,,,"
  $278 p/mo
",,,,,,,,,,,,,,,,,,,,,,"
  —
","
  1 year
","
  eCommerce
","
    $100 ",
0,"
  00:00:28
","
  89.65%
",,,,"
  $276 p/mo
",752,518,478,652,789,569,571,536,351,230,594,417,359,515,584,458,427,369,194,176,"
  1.18
","
  Wordpress 4.7
","
  1 year
","
  Content
","
    $505 ",
0,"
  00:04:29
","
  13.02%
",,,,"
  $265 p/mo
","3,329","2,258","4,761","2,661","3,999","6,524",0,0,0,0,135,323,"1,034","1,114","1,662","2,345",0,0,0,0,"
  7.13
","
  —
","
  9 months
","
  eCommerce
","
    $1,500 ",
