,avg._session_duration,bounce_rate,content_unique?,design_unique?,listing_type,net_profit,page_views_0,page_views_1,page_views_2,page_views_3,page_views_4,page_views_5,page_views_6,page_views_7,page_views_8,page_views_9,page_visitors_0,page_visitors_1,page_visitors_2,page_visitors_3,page_visitors_4,page_visitors_5,page_visitors_6,page_visitors_7,page_visitors_8,page_visitors_9,pages_/_session,platform,site_age,site_type,starting_price,template_unique?
0,"
  00:00:39
","
  53.02%
",,,,"
  —
",4,93,170,136,144,79,0,0,0,0,3,31,54,50,56,34,0,0,0,0,"
  2.10
","
  —
","
  9 months
","
  eCommerce
",Ended Without a Winner,
0,,,,,,"
  —
",,,,,,,,,,,,,,,,,,,,,,"
  —
","
  11 months
","
  Content
",Ended Without a Winner,
0,,,,,,"
  —
",,,,,,,,,,,,,,,,,,,,,,"
  —
","
  1 year
","
  eCommerce
",Ended Without a Winner,
0,,,"
  Yes
","
  No
","
  Starter Site
",,,,,,,,,,,,,,,,,,,,,,,"
  PHP
","
  1 month
","
  SaaS
",Ended Without a Winner,"
  No
"
0,,,,,,"
  —
",,,,,,,,,,,,,,,,,,,,,,"
  Wordpress 4.8
","
  1 year
","
  eCommerce
",Ended Without a Winner,
0,,,,,,"
  —
",,,,,,,,,,,,,,,,,,,,,,"
  —
","
  7 years
","
  Content
",Ended Without a Winner,
0,,,"
  Yes
","
  Yes
","
  Starter Site
",,,,,,,,,,,,,,,,,,,,,,,"
  —
","
  3 months
","
  Content
",Ended Without a Winner,"
  No
"
0,,,"
  No
","
  No
","
  Starter Site
",,,,,,,,,,,,,,,,,,,,,,,"
  Wordpress 4.9
","
  1 month
","
  Services
",Ended Without a Winner,"
  No
"
0,,,"
  No
","
  No
","
  Starter Site
",,,,,,,,,,,,,,,,,,,,,,,"
  Wordpress 4.9
","
  1 month
","
  eCommerce
","
    $139 ","
  No
"
0,,,,,,"
  —
",,,,,,,,,,,,,,,,,,,,,,"
  —
","
  2 years
","
  eCommerce
",Ended Without a Winner,
0,,,,,,"
  —
",,,,,,,,,,,,,,,,,,,,,,"
  —
","
  1 year
","
  Transactional / Marketplace
",Ended Without a Winner,
0,"
  00:01:17
","
  73.97%
",,,,"
  —
",261,457,963,"1,408",444,24,0,0,0,0,69,279,452,566,143,12,0,0,0,0,"
  2.04
","
  —
","
  2 years
","
  eCommerce
",Ended Without a Winner,
0,"
  00:00:06
","
  95.11%
","
  Yes
","
  Yes
","
  Starter Site
",,898,"1,503",987,546,0,0,0,0,0,0,861,"1,401",933,417,0,0,0,0,0,0,"
  1.05
","
  —
","
  5 months
","
  Content
",Ended Without a Winner,"
  No
"
0,"
  00:01:37
","
  84.89%
",,,,"
  —
",50,10,26,71,19,12,23,17,46,12,47,7,16,60,15,12,19,11,46,4,"
  1.37
","
  —
","
  2 years
","
  Content
",Ended Without a Winner,
0,,,,,,"
  —
",,,,,,,,,,,,,,,,,,,,,,"
  —
","
  1 year
","
  eCommerce
",Ended Without a Winner,
0,,,,,,"
  —
",,,,,,,,,,,,,,,,,,,,,,"
  —
","
  6 months
","
  eCommerce
",Ended Without a Winner,
0,"
  00:00:28
","
  68.52%
",,,,"
  —
",7,22,5,20,44,116,394,161,0,0,2,9,5,16,40,37,119,7,0,0,"
  2.31
","
  —
","
  1 year
","
  Content
",Ended Without a Winner,
0,,,"
  No
","
  Yes
","
  Starter Site
",,,,,,,,,,,,,,,,,,,,,,,"
  —
","
  1 month
","
  eCommerce
",Ended Without a Winner,"
  No
"
0,"
  00:01:56
","
  40.19%
",,,,"
  —
","113,137","18,296","16,131","11,804","9,236","9,789","8,266","7,686","3,093","1,708","38,933","2,299","2,472","1,607","1,344","1,487","1,797","1,849",618,406,"
  3.99
","
  —
","
  1 year
","
  Content
",Ended Without a Winner,
0,,,"
  Yes
","
  Yes
","
  Starter Site
",,,,,,,,,,,,,,,,,,,,,,,"
  ASP.​​NET
","
  3 months
","
  Transactional / Marketplace
",Ended Without a Winner,"
  No
"
0,,,,,,"
  —
",,,,,,,,,,,,,,,,,,,,,,"
  —
","
  7 months
","
  eCommerce
",Ended Without a Winner,
0,,,,,,"
  —
",,,,,,,,,,,,,,,,,,,,,,"
  Word​​Press
","
  1 year
","
  Content
",Ended Without a Winner,
0,,,"
  Yes
","
  Yes
","
  Starter Site
",,,,,,,,,,,,,,,,,,,,,,,"
  Wordpress 4.9
","
  3 months
","
  Services
",Ended Without a Winner,"
  No
"
0,"
  00:03:33
","
  14.50%
","
  Yes
","
  Yes
","
  Starter Site
",,555,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,"
  1.41
","
  Wordpress 4.9
","
  3 months
","
  Transactional / Marketplace
",Ended Without a Winner,"
  No
"
0,,,"
  No
","
  Yes
","
  Starter Site
",,,,,,,,,,,,,,,,,,,,,,,"
  —
","
  1 month
","
  eCommerce
","
    $10 ","
  No
"
0,"
  00:03:12
","
  65.75%
",,,,"
  —
",970,"1,507",382,"1,071","1,030",656,0,0,156,230,242,92,123,261,168,43,0,0,12,57,"
  4.71
","
  —
","
  7 months
","
  eCommerce
","
    $2,000 ",
0,,,,,,"
  —
",,,,,,,,,,,,,,,,,,,,,,"
  —
","
  1 year
","
  eCommerce
",Ended Without a Winner,
0,,,"
  No
","
  Yes
","
  Starter Site
",,,,,,,,,,,,,,,,,,,,,,,"
  Wordpress 4.7
","
  2 months
","
  eCommerce
",Ended Without a Winner,"
  No
"
0,,,"
  No
","
  No
","
  Starter Site
",,,,,,,,,,,,,,,,,,,,,,,"
  Wordpress 4.9
","
  1 month
","
  eCommerce
",Ended Without a Winner,"
  No
"
0,,,"
  Yes
","
  Yes
","
  Starter Site
",,,,,,,,,,,,,,,,,,,,,,,"
  Wordpress 4.9
","
  3 months
","
  Services
",Ended Without a Winner,"
  No
"
0,,,"
  Yes
","
  Yes
","
  Starter Site
",,,,,,,,,,,,,,,,,,,,,,,"
  —
","
  1 month
","
  eCommerce
","
    $150 ","
  No
"
0,,,,,,"
  —
",,,,,,,,,,,,,,,,,,,,,,"
  —
","
  4 years
","
  Services
",Ended Without a Winner,
0,,,,,,"
  —
",,,,,,,,,,,,,,,,,,,,,,"
  —
","
  1 year
","
  Content
",Ended Without a Winner,
